SKIP  _glb_helper.js (无 run 导出)
PASS  action3d_script_smoke.js              8 assertions  5ms
PASS  api_extension_smoke.js               16 assertions  2ms
PASS  contracts_smoke.js                    1 assertions  2ms
PASS  core_hash_smoke.js                   14 assertions  1ms
PASS  core_smoke.js                        31 assertions  1ms
PASS  debug_mode_smoke.js                  13 assertions  1ms
PASS  editor_code_editor_smoke.js          21 assertions  1ms
PASS  editor_gizmo_smoke.js                27 assertions  1ms
PASS  editor_mode_smoke.js                 21 assertions  1ms
PASS  editor_modeling_api_smoke.js         22 assertions  154ms
PASS  editor_modeling_export_smoke.js      28 assertions  7ms
PASS  editor_modeling_session_smoke.js     20 assertions  2ms
PASS  editor_physics_smoke.js              17 assertions  472ms
PASS  editor_profiler_panel_smoke.js        9 assertions  2ms
PASS  editor_profiler_smoke.js             13 assertions  0ms
PASS  editor_smoke.js                      32 assertions  1ms
PASS  editor_tabs_smoke.js                 25 assertions  0ms
PASS  editor_viewport_gpu_smoke.js         11 assertions  1ms
PASS  file_system_smoke.js                 16 assertions  6ms
PASS  gi_smoke.js                           7 assertions  0ms
PASS  infer_smoke.js                       15 assertions  2ms
PASS  pbr_math_smoke.js                     8 assertions  1ms
PASS  plat_audio_net_smoke.js              28 assertions  127ms
      note: Q2 出口：音频桥（mock ctx 全路径）+ WS 传输（同接口/重连/回环）+ 插值回滚 全绿
PASS  plat_export_mesh_smoke.js           144 assertions  28ms
      note: M-F 出口：OBJ/glTF/GLB 可写出并读回，坐标/单位变换经 DCC 方向断言
PASS  plat_gltf_smoke.js                   24 assertions  0ms
PASS  plat_image_smoke.js                  17 assertions  1ms
PASS  plat_instancing_smoke.js             15 assertions  0ms
PASS  plat_material_smoke.js               56 assertions  0ms
PASS  plat_modeling_hedit_smoke.js         28 assertions  1ms
PASS  plat_modeling_modifier_cmd_smoke.js   19 assertions  1ms
PASS  plat_modeling_modifier_smoke.js      19 assertions  1ms
PASS  plat_modeling_ops_smoke.js           19 assertions  109ms
PASS  plat_modeling_pick_smoke.js          20 assertions  1ms
PASS  plat_modeling_undo_smoke.js          20 assertions  1ms
PASS  plat_runtime_physics_smoke.js        10 assertions  953ms
PASS  plat_scene_id_smoke.js               21 assertions  0ms
PASS  plat_skin_smoke.js                   22 assertions  1ms
PASS  plat_smoke.js                        34 assertions  3ms
PASS  plat_texture_bridge_smoke.js         12 assertions  1ms
PASS  plat_vdom_smoke.js                   81 assertions  3ms
      note: vdom diff：Vue2 patch 算法（key 乱序/双端比较）+ game/dom/mock 三 host + 响应式封装全部通过
PASS  plat_worker_smoke.js                 35 assertions  43ms
PASS  plat_world_viewport_smoke.js          9 assertions  0ms
PASS  play_session_smoke.js                10 assertions  0ms
PASS  profiler_timeline_smoke.js           12 assertions  1ms
PASS  render_cull_smoke.js                  8 assertions  1ms
PASS  render_fog_smoke.js                   2 assertions  2ms
PASS  render_hiz_smoke.js                   5 assertions  0ms
PASS  render_ibl_smoke.js                  33 assertions  8ms
PASS  render_light_parity.js                3 assertions  2ms
PASS  render_normalmap_smoke.js            29 assertions  0ms
PASS  render_pbr_parity.js                  2 assertions  1ms
PASS  render_postfx_smoke.js               11 assertions  1ms
PASS  render_primitives_smoke.js          908 assertions  1ms
PASS  render_scene_graph_smoke.js          41 assertions  42ms
PASS  render_shadow_parity.js               3 assertions  1ms
PASS  render_smoke.js                      51 assertions  2ms
PASS  render_taa_gpu_smoke.js              42 assertions  3ms
      note: Q3 出口：运动矢量 CPU/GLSL 同式 + TAA resolve（收敛/ghosting 抑制/重投影）+ jitter 同源
PASS  render_text_smoke.js                 13 assertions  1ms
PASS  render_viewport_cache_smoke.js       17 assertions  3ms
PASS  rhi_device_smoke.js                   6 assertions  1ms
PASS  rhi_instancing_smoke.js               6 assertions  0ms
PASS  rhi_msaa_smoke.js                     4 assertions  0ms
PASS  rhi_parity_smoke.js                   5 assertions  1ms
PASS  rhi_software_smoke.js                 4 assertions  1ms
PASS  rhi_software_state_smoke.js           4 assertions  1ms
PASS  rhi_software_texture_smoke.js         1 assertions  0ms
PASS  rhi_webgl2_parity_smoke.js            2 assertions  0ms
PASS  script_compiler_smoke.js             11 assertions  1ms
PASS  sim_character_smoke.js                9 assertions  1ms
PASS  sim_constraint_smoke.js              15 assertions  0ms
PASS  sim_particles_ext_smoke.js           21 assertions  2ms
PASS  sim_particles_smoke.js               16 assertions  1ms
PASS  sim_physics3d_smoke.js               21 assertions  621ms
PASS  sim_raycast_convex_smoke.js           3 assertions  0ms
PASS  sim_raycast_smoke.js                 14 assertions  1ms
PASS  sim_smoke.js                         28 assertions  1ms

PASS=76 FAIL=0 ASSERTIONS=2368 :: ALL_DONE
